Clayton,"95,466",84.94%,"15,811",14.07%,"1,114",0.99%,"79,655",70.87%,"112,391"
Clinch,744,26.00%,"2,105",73.55%,13,0.45%,"-1,361",-47.55%,"2,862"
Cobb,"221,847",56.30%,"165,436",41.99%,"6,739",1.71%,"56,411",14.31%,"394,022"
Coffee,"4,511",29.65%,"10,578",69.53%,125,0.82%,"-6,067",-39.88%,"15,214"
Colquitt,"4,190",26.05%,"11,777",73.21%,120,0.74%,"-7,587",-47.16%,"16,087"
Columbia,"29,232",36.26%,"50,013",62.04%,"1,375",1.70%,"-20,781",-25.78%,"80,620"
Cook,"2,059",29.26%,"4,900",69.63%,78,1.11%,"-2,841",-40.37%,"7,037"
Coweta,"24,210",31.50%,"51,501",67.02%,"1,134",1.48%,"-27,291",-35.52%,"76,845"
Crawford,"1,615",26.47%,"4,428",72.57%,59,0.96%,"-2,813",-46.10%,"6,102"
Crisp,"2,982",37.11%,"4,985",62.03%,69,0.86%,"-2,003",-24.92%,"8,036"
Dade,"1,261",16.93%,"6,066",81.46%,120,1.61%,"-4,805",-64.53%,"7,447"
Dawson,"2,486",15.46%,"13,398",83.30%,200,1.24%,"-10,912",-67.84%,"16,084"
Decatur,"4,782",41.12%,"6,755",58.09%,91,0.79%,"-1,973",-16.97%,"11,628"
DeKalb,"308,162",83.09%,"58,377",15.74%,"4,338",1.17%,"249,785",67.35%,"370,877"
Dodge,"2,172",26.91%,"5,843",72.39%,57,0.70%,"-3,671",-45.48%,"8,072"
Dooly,"1,911",46.54%,"2,159",52.58%,36,0.88%,-248,-6.04%,"4,106"
Dougherty,"24,568",69.62%,"10,441",29.59%,281,0.79%,"14,127",40.03%,"35,290"
Douglas,"42,814",61.92%,"25,454",36.82%,871,1.26%,"17,360",25.10%,"69,139"
Early,"2,450",47.22%,"2,710",52.24%,28,0.54%,-260,-5.02%,"5,188"
Echols,167,11.58%,"1,256",87.10%,19,1.32%,"-1,089",-75.52%,"1,442"
Effingham,"7,718",24.44%,"23,361",73.98%,500,1.58%,"-15,643",-49.54%,"31,579"
Elbert,"2,879",31.38%,"6,226",67.85%,71,0.77%,"-3,347",-36.47%,"9,176"
Emanuel,"2,886",30.36%,"6,553",68.93%,68,0.71%,"-3,667",-38.57%,"9,507"
Evans,"1,324",31.17%,"2,888",67.98%,36,0.85%,"-1,564",-36.81%,"4,248"
Fannin,"2,570",17.31%,"12,169",81.95%,110,0.74%,"-9,599",-64.64%,"14,849"
Fayette,"33,062",45.91%,"37,956",52.71%,994,1.38%,"-4,894",-6.80%,"72,012"
Floyd,"11,917",28.81%,"28,906",69.88%,542,1.31%,"-16,989",-41.07%,"41,365"
Forsyth,"42,208",32.62%,"85,123",65.79%,"2,046",1.59%,"-42,915",-33.17%,"129,377"
Franklin,"1,593",14.80%,"9,069",84.23%,105,0.97%,"-7,476",-69.43%,"10,767"
Fulton,"380,212",72.57%,"137,247",26.20%,"6,472",1.23%,"242,965",46.37%,"523,931"
Gilmer,"2,932",17.74%,"13,429",81.25%,166,1.01%,"-10,497",-63.51%,"16,527"
Glascock,155,9.90%,"1,402",89.58%,8,0.52%,"-1,247",-79.68%,"1,565"
Glynn,"15,882",37.82%,"25,617",61.00%,495,1.18%,"-9,735",-23.18%,"41,994"
Gordon,"4,384",18.23%,"19,405",80.71%,255,1.06%,"-15,021",-62.48%,"24,044"
Grady,"3,619",33.80%,"7,034",65.70%,54,0.50%,"-3,415",-31.90%,"10,707"
Greene,"4,087",36.34%,"7,066",62.83%,94,0.83%,"-2,979",-26.49%,"11,247"
Gwinnett,"241,994",58.40%,"166,400",40.16%,"5,956",1.44%,"75,594",18.24%,"414,350"
Habersham,"3,562",17.42%,"16,637",81.39%,243,1.19%,"-13,075",-63.97%,"20,442"
Hall,"25,033",27.63%,"64,183",70.84%,"1,386",1.53%,"-39,150",-43.21%,"90,602"
Hancock,"2,976",71.66%,"1,154",27.79%,23,0.55%,"1,822",43.87%,"4,153"
Haralson,"1,791",12.57%,"12,330",86.54%,127,0.89%,"-10,539",-73.97%,"14,248"
Harris,"5,457",27.28%,"14,319",71.59%,226,1.13%,"-8,862",-44.31%,"20,002"
Hart,"3,157",24.79%,"9,465",74.33%,112,0.88%,"-6,308",-49.54%,"12,734"
Heard,824,15.28%,"4,519",83.78%,51,0.94%,"-3,695",-68.50%,"5,394"
Henry,"73,443",59.70%,"48,259",39.23%,"1,314",1.07%,"25,184",20.47%,"123,016"
Houston,"32,239",43.06%,"41,540",55.48%,"1,093",1.46%,"-9,301",-12.42%,"74,872"
Irwin,"1,008",24.18%,"3,134",75.19%,26,0.63%,"-2,126",-51.01%,"4,168"
Jackson,"7,642",20.28%,"29,502",78.29%,541,1.43%,"-21,860",-58.01%,"37,685"
Jasper,"1,761",23.03%,"5,822",76.13%,64,0.84%,"-4,061",-53.10%,"7,647"
Jeff Davis,"1,028",17.80%,"4,695",81.31%,51,0.89%,"-3,667",-63.51%,"5,774"
Jefferson,"4,058",53.12%,"3,537",46.30%,44,0.58%,521,6.82%,"7,639"
Jenkins,"1,266",36.64%,"2,161",62.55%,28,0.81%,-895,-25.91%,"3,455"
Johnson,"1,222",29.80%,"2,850",69.51%,28,0.69%,"-1,628",-39.71%,"4,100"
Jones,"4,882",32.68%,"9,940",66.53%,118,0.79%,"-5,038",-33.85%,"14,940"
Lamar,"2,620",28.97%,"6,331",69.99%,94,1.04%,"-3,711",-41.02%,"9,045"
Lanier,"1,019",28.50%,"2,509",70.16%,48,1.34%,"-1,490",-41.66%,"3,576"
Laurens,"8,074",35.52%,"14,493",63.76%,165,0.72%,"-6,419",-28.24%,"22,732"
Lee,"4,558",27.26%,"12,007",71.82%,154,0.92%,"-7,449",-44.56%,"16,719"
Liberty,"13,104",61.25%,"7,959",37.20%,331,1.55%,"5,145",24.05%,"21,394"
Lincoln,"1,432",30.86%,"3,173",68.37%,36,0.77%,"-1,741",-37.51%,"4,641"
Long,"2,035",35.95%,"3,527",62.31%,98,1.74%,"-1,492",-26.36%,"5,660"
Lowndes,"20,116",43.38%,"25,692",55.40%,567,1.22%,"-5,576",-12.02%,"46,375"
Lumpkin,"3,126",20.11%,"12,163",78.24%,256,1.65%,"-9,037",-58.13%,"15,545"
Macon,"2,858",61.29%,"1,783",38.24%,22,0.47%,"1,075",23.05%,"4,663"
Madison,"3,411",22.82%,"11,326",75.78%,208,1.40%,"-7,915",-52.96%,"14,945"
Marion,"1,312",36.18%,"2,275",62.74%,39,1.08%,-963,-26.56%,"3,626"
McDuffie,"4,168",39.86%,"6,169",59.00%,119,1.14%,"-2,001",-19.14%,"10,456"
McIntosh,"2,612",39.01%,"4,016",59.98%,68,1.01%,"-1,404",-20.97%,"6,696"
Meriwether,"4,287",39.40%,"6,524",59.96%,69,0.64%,"-2,237",-20.56%,"10,880"
Miller,748,26.39%,"2,066",72.90%,20,0.71%,"-1,318",-46.51%,"2,834"
Mitchell,"3,993",44.55%,"4,935",55.06%,35,0.39%,-942,-10.51%,"8,963"
Monroe,"4,385",28.12%,"11,057",70.91%,150,0.97%,"-6,672",-42.79%,"15,592"
Montgomery,980,24.70%,"2,960",74.60%,28,0.70%,"-1,980",-49.90%,"3,968"
Morgan,"3,353",28.63%,"8,231",70.29%,126,1.08%,"-4,878",-41.66%,"11,710"
Murray,"2,301",14.95%,"12,944",84.08%,150,0.97%,"-10,643",-69.13%,"15,395"
Muscogee,"49,446",61.40%,"30,107",37.39%,975,1.21%,"19,339",24.01%,"80,528"
Newton,"29,789",54.90%,"23,869",43.99%,605,1.11%,"5,920",10.91%,"54,263"
Oconee,"8,162",32.40%,"16,595",65.87%,436,1.73%,"-8,433",-33.47%,"25,193"
Oglethorpe,"2,439",29.97%,"5,592",68.71%,107,1.32%,"-3,153",-38.74%,"8,138"
Paulding,"29,695",34.76%,"54,517",63.82%,"1,205",1.42%,"-24,822",-29.06%,"85,417"
Peach,"5,922",47.17%,"6,506",51.82%,126,1.01%,-584,-4.65%,"12,554"
Pickens,"2,824",16.45%,"14,110",82.17%,238,1.38%,"-11,286",-65.72%,"17,172"
Pierce,"1,100",12.16%,"7,898",87.29%,50,0.55%,"-6,798",-75.13%,"9,048"
Pike,"1,505",14.04%,"9,127",85.13%,89,0.83%,"-7,622",-71.09%,"10,721"
Polk,"3,657",21.02%,"13,587",78.09%,155,0.89%,"-9,930",-57.07%,"17,399"
Pulaski,"1,230",30.14%,"2,815",68.98%,36,0.88%,"-1,585",-38.84%,"4,081"
Putnam,"3,448",29.08%,"8,291",69.92%,118,1.00%,"-4,843",-40.84%,"11,857"
Quitman,497,44.94%,604,54.61%,5,0.45%,-107,-9.67%,"1,106"
Rabun,"1,984",20.72%,"7,474",78.07%,116,1.21%,"-5,490",-57.35%,"9,574"
Randolph,"1,671",54.38%,"1,390",45.23%,12,0.39%,281,9.15%,"3,073"
Richmond,"59,119",67.89%,"26,780",30.75%,"1,178",1.36%,"32,339",37.14%,"87,077"
Rockdale,"31,237",69.88%,"13,014",29.11%,448,1.01%,"18,223",40.77%,"44,699"
Schley,462,20.31%,"1,800",79.12%,13,0.57%,"-1,338",-58.81%,"2,275"
Screven,"2,661",40.14%,"3,915",59.06%,53,0.80%,"-1,254",-18.92%,"6,629"
Seminole,"1,256",32.30%,"2,613",67.21%,19,0.49%,"-1,357",-34.91%,"3,888"
Spalding,"11,828",39.14%,"18,104",59.91%,287,0.95%,"-6,276",-20.77%,"30,219"
Stephens,"2,386",20.08%,"9,367",78.81%,132,1.11%,"-6,981",-58.73%,"11,885"
Stewart,"1,182",59.40%,801,40.25%,7,0.35%,381,19.15%,"1,990"
Sumter,"6,314",51.97%,"5,733",47.19%,103,0.84%,581,4.78%,"12,150"
Talbot,"2,114",59.99%,"1,392",39.50%,18,0.51%,722,20.49%,"3,524"
Taliaferro,561,60.45%,360,38.79%,7,0.76%,201,21.66%,928
Tattnall,"2,062",25.19%,"6,054",73.95%,71,0.86%,"-3,992",-48.76%,"8,187"
Taylor,"1,388",36.13%,"2,420",62.99%,34,0.88%,"-1,032",-26.86%,"3,842"
Telfair,"1,488",34.33%,"2,825",65.17%,22,0.50%,"-1,337",-30.84%,"4,335"
Terrell,"2,376",53.80%,"2,004",45.38%,36,0.82%,372,8.42%,"4,416"
Thomas,"8,708",39.80%,"12,969",59.28%,200,0.92%,"-4,261",-19.48%,"21,877"
Tift,"5,318",32.67%,"10,784",66.24%,178,1.09%,"-5,466",-33.57%,"16,280"
Toombs,"2,938",26.92%,"7,873",72.14%,103,0.94%,"-4,935",-45.22%,"10,914"
Towns,"1,550",19.43%,"6,384",80.01%,45,0.56%,"-4,834",-60.58%,"7,979"
Treutlen,952,30.94%,"2,101",68.28%,24,0.78%,"-1,149",-37.34%,"3,077"
Troup,"11,577",38.52%,"18,142",60.36%,338,1.12%,"-6,565",-21.84%,"30,057"
Turner,"1,409",37.17%,"2,349",61.96%,33,0.87%,-940,-24.79%,"3,791"
Twiggs,"2,044",45.99%,"2,370",53.33%,30,0.68%,-326,-7.34%,"4,444"
Union,"2,800",17.99%,"12,650",81.29%,112,0.72%,"-9,850",-63.30%,"15,562"
Upson,"4,203",32.56%,"8,606",66.68%,98,0.76%,"-4,403",-34.12%,"12,907"
Walker,"5,770",19.64%,"23,173",78.89%,431,1.47%,"-17,403",-59.25%,"29,374"
Walton,"12,683",24.82%,"37,839",74.05%,576,1.13%,"-25,156",-49.23%,"51,098"
Ware,"4,169",29.38%,"9,903",69.79%,117,0.83%,"-5,734",-40.41%,"14,189"
Warren,"1,468",55.40%,"1,166",44.00%,16,0.60%,302,11.40%,"2,650"
Washington,"4,743",50.03%,"4,668",49.24%,69,0.73%,75,0.79%,"9,480"
Wayne,"2,688",21.03%,"9,987",78.13%,107,0.84%,"-7,299",-57.10%,"12,782"
Webster,640,46.01%,748,53.77%,3,0.22%,-108,-7.76%,"1,391"
Wheeler,689,30.15%,"1,583",69.28%,13,0.57%,-894,-39.13%,"2,285"
White,"2,411",16.26%,"12,222",82.41%,198,1.33%,"-9,811",-66.15%,"14,831"
Whitfield,"10,680",29.05%,"25,644",69.75%,442,1.20%,"-14,964",-40.70%,"36,766"
Wilcox,861,26.26%,"2,402",73.25%,16,0.49%,"-1,541",-46.99%,"3,279"
Wilkes,"2,160",42.93%,"2,823",56.11%,48,0.96%,-663,-13.18%,"5,031"
Wilkinson,"2,074",43.48%,"2,665",55.87%,31,0.65%,-591,-12.39%,"4,770"
Worth,"2,395",25.79%,"6,830",73.56%,60,0.65%,"-4,435",-47.77%,"9,285"
Totals,"2,473,633",49.47%,"2,461,854",49.24%,"64,473",1.29%,"11,779",0.23%,"4,999,960"
